,city,lna,lat
0,北京,116.405285,39.904989
1,无锡,120.301663,31.574729
2,南京,118.767413,32.041544
3,惠州,114.412599,23.079404
4,沈阳,123.429096,41.796767
5,长春,125.3245,43.886841
6,长沙,112.982279,28.19409
7,上海,121.472644,31.231706
8,武汉,114.298572,30.584355
9,盐城,120.139998,33.377631
10,合肥,117.283042,31.86119
11,郑州,113.665412,34.757975
12,佛山,113.122717,23.028762
13,西安,125.14904,42.927
14,东莞,113.760234,23.048884
15,青岛,120.369557,36.094406
16,天津,117.190182,39.125596
17,珠海,113.552724,22.255899
18,广州,113.280637,23.125178
19,深圳,114.085947,22.547
20,潍坊,119.107078,36.70925
21,成都,104.065735,30.659462
22,杭州,120.153576,30.287459
23,重庆,106.504962,29.533155
24,石家庄,114.502461,38.045474
25,苏州,120.619585,31.299379
26,中山,121.64465,38.91859
27,保定,115.482331,38.867657
28,贵阳,106.713478,26.578343
29,台州,121.428599,28.661378
30,镇江,119.452753,32.204402
31,南昌,115.892151,28.676493
32,烟台,121.391382,37.539297
33,洛阳,112.434468,34.663041
34,金华,119.649506,29.089524
35,嘉兴,120.750865,30.762653
36,兰州,103.823557,36.058039
37,泰州,119.915176,32.484882
38,昆明,102.712251,25.040609
39,常州,119.946973,31.772752
40,绍兴,120.582112,29.997117
41,乌鲁木齐,87.617733,43.792818
42,大连,121.618622,38.91459
43,临沂,118.326443,35.065282
44,海口,110.33119,20.031971
45,福州,119.306239,26.075302
46,唐山,118.175393,39.635113
47,南通,120.864608,32.016212
48,扬州,119.421003,32.393159
49,厦门,118.11022,24.490474
50,赣州,114.940278,25.85097
51,哈尔滨,126.642464,45.756967
52,太原,112.549248,37.857014
53,廊坊,116.713873,39.529244
54,济南,117.000923,36.675807
55,湛江,110.405529,21.195338
56,徐州,117.184811,34.261792
57,温州,120.672111,28.000575
58,绵阳,104.741722,31.46402
59,芜湖,118.376451,31.326319
60,九江,115.992811,29.712034
61,淮安,119.021265,33.597506
62,信阳,114.075031,32.123274
63,衡阳,112.607693,26.900358
64,桂林,110.299121,25.274215
65,岳阳,113.132855,29.37029
66,银川,106.278179,38.46637
67,连云港,119.178821,34.600018
68,威海,122.116394,37.509691
69,淄博,118.047648,36.814939
70,揭阳,116.355733,23.543778
71,三亚,109.508268,18.247872
72,宜昌,111.290843,30.702636
73,商丘,115.650497,34.437054
74,宁德,119.527082,26.65924
75,遵义,106.937265,27.706626
76,邯郸,114.490686,36.612273
77,肇庆,112.472529,23.051546
78,阜阳,115.819729,32.896969
79,上饶,117.971185,28.44442
80,济宁,116.587245,35.415393
81,株洲,113.151737,27.835806
82,清远,113.036779,23.704188
83,湘潭,112.925083,27.846725
84,滁州,118.316264,32.303627
85,丽水,119.921786,28.451993
86,马鞍山,118.507906,31.689362
87,包头,109.840405,40.658168
88,南阳,112.540918,32.999082
89,龙岩,117.02978,25.091603
90,三明,117.635001,26.265444
91,荆州,112.23813,30.326857
92,襄阳,112.144146,32.042426
93,郴州,113.032067,25.793589
94,潮州,116.632301,23.661701
95,蚌埠,117.36237,32.934037
96,大庆,125.11272,46.590734
97,南充,106.082974,30.795281
98,梅州,116.117582,24.299112
99,沧州,116.857461,38.310582
100,新乡,113.883991,35.302616
101,韶关,113.591544,24.801322
102,邢台,114.508851,37.0682
103,淮南,117.025449,32.645947
104,鞍山,122.995632,41.110626
105,益阳,112.355042,28.570066
106,南平,118.178459,26.635627
107,铜仁,109.191555,27.718346
108,菏泽,115.469381,35.246531
109,常德,111.691347,29.040225
110,抚州,116.358351,27.98385
111,张家口,114.884091,40.811901
112,鄂尔多斯,109.99029,39.817179
113,铜陵,117.816576,30.929935
114,六安,116.507676,31.752889
115,大理白族自治州,100.240037,25.592765
116,宿州,116.984084,33.633891
117,泰安,117.129063,36.194968
118,营口,122.235151,40.667432
119,运城,111.003957,35.022778
120,娄底,112.008497,27.728136
121,日照,119.461208,35.428588
122,永州,111.608019,26.434516
123,汕尾,115.364238,22.774485
124,曲靖,103.797851,25.501557
125,大同,113.295259,40.09031
126,衢州,118.87263,28.941708
127,梧州,111.316229,23.472309
128,黄石,115.077048,30.220074
129,齐齐哈尔,123.953486,47.348079
130,鄂州,114.890593,30.396536
131,黄山,118.317325,29.709239
132,六盘水,104.846743,26.584643
133,德州,116.307428,37.453968
134,亳州,115.782939,33.869338
135,景德镇,117.214664,29.29256
136,周口,114.649653,33.620357
137,西宁,101.778916,36.623178
138,牡丹江,129.618602,44.582962
139,承德,117.939152,40.976204
140,十堰,110.785239,32.647017
141,玉林,110.154393,22.63136
142,开封,114.341447,34.797049
143,晋中,112.736465,37.696495
144,鹰潭,117.033838,28.238638
145,河源,114.697802,23.746266
146,茂名,110.919229,21.659751
147,许昌,113.826063,34.022956
148,北海,118.016974,37.383542
149,榆林,109.741193,38.290162
150,德阳,104.398651,31.127991
151,安顺,105.932188,26.245544
152,丹东,124.383044,40.124296
153,平顶山,113.307718,33.735241
154,驻马店,114.024736,32.980169
155,枣庄,117.557964,34.856424
156,绥化,126.99293,46.637393
157,乐山,103.761263,29.582024
158,佳木斯,130.361634,46.809606
159,聊城,115.980367,36.456013
160,吉安,114.986373,27.111699
161,焦作,113.238266,35.23904
162,赤峰,118.956806,42.275317
163,咸宁,114.328963,29.832798
164,江门,113.094942,22.590431
165,南宁,108.320004,22.82402
166,汕头,116.708463,23.37102
167,漳州,117.661801,24.510897
168,湖州,120.102398,30.867198
169,吉林,125.3245,43.886841
170,安庆,117.053571,30.524816
171,黄冈,114.879365,30.447711
172,拉萨,91.132212,29.660361
173,邵阳,111.46923,27.237842
174,锦州,121.135742,41.119269
175,宿迁,118.293328,33.945154
176,孝感,113.926655,30.926423
177,怀化,109.97824,27.550082
178,柳州,109.411703,24.314617
179,盘锦,122.06957,41.124484
180,渭南,109.502882,34.499381
181,咸阳,108.705117,34.333439
